,prot,filename,plddt,rmsd,rmsd_m,wrmsd,designable,designable_w,designable_m,designable_w_m,rmsd_sheba,designable_sheba,rmsd_sheba_m,designable_sheba_m,rmsd_tm_m,designable_tm_m,rmsd_tm,designable_tm,rmsd_mout,designable_rmsd_out_m,rmsd_out,designable_rmsd_out
4487,d2rfba,sample_3,85.44157604702424,0.6756940902864318,0.4455461941202508,0.6656665387538196,True,True,True,True,0.6788940140092746,True,0.4661927222225287,True,0.4977223063670253,True,0.6980090172878807,True,0.4072224680169167,True,0.4072224680169167,True
639,d2q3oa,sample_6,86.45471698113208,0.6623046859178738,0.5414221990077674,0.6587178254420073,True,True,True,True,0.6604873707619328,True,0.537949543785224,True,0.5489347311801527,True,0.662758991653376,True,0.4843786429067589,True,0.4843786429067589,True
7758,d7cb9a,sample_6,85.10677526228602,0.6510077061651578,0.5651224732012017,0.6518231350984205,True,True,True,True,0.6510028546054679,True,0.4988243683503798,True,0.4974714099645707,True,0.6690908444275161,True,0.4495952605023054,True,0.4495952605023054,True
1758,d1y0ga,sample_4,82.09920571882446,0.5309298738679562,0.4544154726555652,0.532144156907969,True,True,True,True,0.5309572622893756,True,0.3708822422739736,True,0.4126573225620191,True,0.6288456373513893,True,0.3454057857858755,True,0.3454057857858755,True
6413,d1wiya,sample_3,87.7888320638375,0.558051782629266,0.4307680377575095,0.5426921371650737,True,True,True,True,0.5500994554220445,True,0.4258150376055589,True,0.4421424963192935,True,0.5662273652524854,True,0.4060343300795779,True,0.4060343300795779,True
1012,d4i77z,sample_1,84.77347275031684,0.7763892152593923,0.5908196945436333,0.749972250936757,True,True,True,True,0.7692766039170521,True,0.5829976701442644,True,0.6284553244102089,True,0.7975402284365056,True,0.5295704872074294,True,0.5295704872074294,True
2526,d6ow4a,sample_2,85.33079448144625,0.8175697257106678,0.5506228010079509,0.7983201923346976,True,True,True,True,0.8206895879878043,True,0.4515855341684059,True,0.5041421917618413,True,0.909470310844852,True,0.495255550591302,True,0.495255550591302,True
7496,d3tnja,sample_8,83.3348115079365,1.093591526499492,0.5410203020292566,1.051980608859579,True,True,True,True,1.0731092864895793,True,0.5040630802025172,True,0.6867941954311714,True,1.2210357087939616,True,0.445707943785497,True,0.445707943785497,True
1269,d1kt7a,sample_6,86.38236880466471,0.6623717896559711,0.5587899410147649,0.6559251575632525,True,True,True,True,0.662374756436266,True,0.547160332852562,True,0.5445485071012073,True,0.7005099860544048,True,0.4548277494491516,True,0.4548277494491516,True
5347,d6a2bb,sample_7,87.52273109243697,0.4822595083610769,0.3875457144267461,0.4804272863714739,True,True,True,True,0.4822746959477605,True,0.3872318763354069,True,0.3872362096103823,True,0.4822732976695844,True,0.3552071647571475,True,0.3552071647571475,True
1707,d1ogyb,sample_2,57.44125659978881,6.635829729102205,5.630746700993484,6.214883433182748,False,False,False,False,7.498192306189058,False,4.467202093297976,False,7.5421274628311075,False,9.26621915941101,False,4.177840388048201,False,4.177840388048201,False
6713,d1odfa,sample_8,85.33829964850615,0.7306989832692073,0.583679709332395,0.7256412652698481,True,True,True,True,0.7287888614448302,True,0.5739126280305886,True,0.5914957463964999,True,0.731923292847223,True,0.5336052410836013,True,0.5336052410836013,True
8272,d3fiqa,sample_7,89.30342975206611,0.5244789090114147,0.3990415870971769,0.5173333266715987,True,True,True,True,0.5245362474097905,True,0.3991105195588016,True,0.3931503418126481,True,0.5226266061037254,True,0.3478176454418578,True,0.3478176454418578,True
8625,d1jera,sample_4,91.46170990566036,0.457855581443113,0.3157829197852957,0.4154681577014025,True,True,True,True,0.4577456411377547,True,0.3156853236404434,True,0.3313243262943625,True,0.4939063809292455,True,0.2820403380804653,True,0.2820403380804653,True
728,d2d2aa,sample_8,77.995,1.97081912468869,1.155918476800999,1.7440881602016898,True,True,True,True,1.9383540323592063,True,1.0763440162490965,True,1.456384325671468,True,2.2223501950775875,False,1.043318543592931,True,1.043318543592931,True
8397,d1bqca,sample_6,90.13645941278064,0.594428209269121,0.4315733449590075,0.5898703585692189,True,True,True,True,0.5902982294607773,True,0.4257777826765555,True,0.4301147800258927,True,0.6562567649123295,True,0.3694140569265637,True,0.3694140569265637,True
7197,d1ecaa,sample_2,84.7213676731794,0.5247343583501453,0.4559995294300994,0.5211669253055068,True,True,True,True,0.5247283679903436,True,0.4559093374016199,True,0.4559157939112519,True,0.5247304704806695,True,0.4338607470553398,True,0.4338607470553398,True
232,d1poca,sample_2,88.75764928909953,0.7189473317381838,0.5619608723384123,0.7164260847973069,True,True,True,True,0.714810730571895,True,0.5736224131309122,True,0.5890848145720387,True,0.7218038874207972,True,0.5219681088730017,True,0.5219681088730017,True
3675,d7caxa,sample_4,91.31377228292124,0.5153826836450056,0.416752151215531,0.5111364483953509,True,True,True,True,0.5153993365393013,True,0.4166260873709745,True,0.4161252022994401,True,0.5147551794869195,True,0.3903071343356515,True,0.3903071343356515,True
5341,d1kj2b,sample_1,82.74648550724638,1.6428180354285444,0.9642429882915812,1.4841619304989164,True,True,True,True,1.5868212882971504,True,0.8788840928417604,True,1.0271234195607286,True,2.0776730564026176,False,0.8426053016358876,True,0.8426053016358876,True
4592,d6u6ca,sample_5,89.77780721533259,0.490682140423149,0.4255245403018891,0.4883803499715736,True,True,True,True,0.4901118968054821,True,0.4090549963794779,True,0.4103956153715414,True,0.5391204155054629,True,0.3792743027772443,True,0.3792743027772443,True
8257,d3pfta,sample_4,87.78490503715938,0.6584485688481951,0.5414109824437832,0.6535423670105559,True,True,True,True,0.6584831549890645,True,0.5414769534273984,True,0.525406113193676,True,0.6569258761095115,True,0.4871874782032417,True,0.4871874782032417,True
6638,d2rh2a,sample_3,87.2453164556962,0.3150451631860807,0.2452478910823954,0.3142264498232132,True,True,True,True,0.3150792462841646,True,0.2451531446043333,True,0.2451447428546957,True,0.3150794501207186,True,0.217509316794788,True,0.217509316794788,True
995,d1h0ba,sample_1,91.68407687827606,0.3718455310448884,0.317841308387643,0.371479231634298,True,True,True,True,0.3718732308091038,True,0.318169945749761,True,0.3181667102180021,True,0.3718732469891981,True,0.2781884425088878,True,0.2781884425088878,True
