pdb_name,length,header,tm_score,sc_rmsd,plddt,pct_helix,pct_strand,pct_coil,scrmsd_des,plddt_des,tm_plddt_des
1wyj,112,native,0.5695783681893309,6.118378578995258,56.61,0.2321428571428571,0.3482142857142857,0.4196428571428571,False,False,False
2dxu,43,native,0.8387755344111327,0.9044750228795068,83.1,0.0697674418604651,0.5348837209302325,0.3953488372093023,True,True,True
6m3b,42,native,0.3062869361837657,7.1652101271034025,60.66,0.0,0.3571428571428571,0.6428571428571429,False,False,False
2xol,166,native,0.4222642931529016,15.147576603304213,46.87,0.7349397590361446,0.0,0.2650602409638554,False,False,False
1k94,165,native,0.6205537599891445,5.714703535417746,53.46,0.6303030303030303,0.0727272727272727,0.296969696969697,False,False,False
6np9,115,native,0.6813797388254936,4.444823983046127,53.84,0.0521739130434782,0.4521739130434782,0.4956521739130435,False,False,False
1wfo,117,native,0.7245793051370313,9.458097869555502,67.07,0.0,0.4700854700854701,0.5299145299145299,False,False,False
1cf7,67,native,0.4029777424345268,13.401942340623329,81.15,0.6865671641791045,0.1343283582089552,0.1791044776119403,False,False,False
2fcw,105,native,0.8842574106430985,2.826408329959522,90.97,0.8285714285714286,0.0,0.1714285714285714,False,False,True
1bg1,177,native,0.5177111819686422,15.215661707151838,60.16,0.8418079096045198,0.0,0.1581920903954802,False,False,False
2phn,248,native,0.2727642730854733,18.73600543825613,41.2,0.3346774193548387,0.0927419354838709,0.5725806451612904,False,False,False
3nuh,168,native,0.5794388298496844,6.44099388851702,76.58,0.5178571428571429,0.1785714285714285,0.3035714285714285,False,False,True
2idr,177,native,0.3091717850998804,12.95788871510022,34.35,0.1581920903954802,0.2372881355932203,0.6045197740112994,False,False,False
2nrh,74,native,0.4001986998245685,9.346556488942646,47.23,0.1351351351351351,0.4459459459459459,0.4189189189189189,False,False,False
6np3,268,native,0.3512393753690943,18.063004526385686,47.34,0.4365671641791044,0.1529850746268656,0.4104477611940298,False,False,False
1z2a,164,native,0.6206914380156257,5.848281283425079,49.48,0.4146341463414634,0.0853658536585365,0.5,False,False,False
4p5m,97,native,0.4724669050462416,8.641073024589495,58.43,0.0309278350515463,0.3402061855670103,0.6288659793814433,False,False,False
1mo9,121,native,0.6254364023846113,5.368710003243506,55.57,0.2148760330578512,0.3471074380165289,0.4380165289256198,False,False,False
1ua7,344,native,0.2705124746646192,20.515985900812822,40.53,0.2965116279069767,0.1540697674418604,0.5494186046511628,False,False,False
2bop,85,native,0.4447323437856077,9.41992595787164,57.85,0.1176470588235294,0.4352941176470588,0.4470588235294118,False,False,False
2hah,112,native,0.3150550112043798,14.77469988389612,38.96,0.0,0.5089285714285714,0.4910714285714285,False,False,False
5yh4,179,native,0.3972124527550712,13.411952788851051,40.96,0.0335195530726257,0.3966480446927374,0.5698324022346368,False,False,False
3q90,121,native,0.2695912727372863,13.11325389605322,34.74,0.2148760330578512,0.0909090909090909,0.6942148760330579,False,False,False
2o8p,220,native,0.6758726816889591,7.967255985821143,73.55,0.8,0.0,0.2,False,False,True
1jnr,141,native,0.3218202493702889,15.8754115576416,49.85,0.5815602836879432,0.0992907801418439,0.3191489361702128,False,False,False
3vfi,104,native,0.4481550393879528,8.711899013487512,61.5,0.5576923076923077,0.1442307692307692,0.2980769230769231,False,False,False
7bl4,102,native,0.8139988053110372,2.659732158796704,77.91,0.4313725490196078,0.2745098039215686,0.2941176470588235,False,False,True
2p7j,93,native,0.3093268658160835,9.64709224466534,46.32,0.1827956989247312,0.2150537634408602,0.6021505376344086,False,False,False
3sre,329,native,0.303707620987234,22.77560985307892,39.6,0.0759878419452887,0.3677811550151976,0.5562310030395137,False,False,False
1k1g,122,native,0.5536625981260622,6.375243455653355,68.14,0.4262295081967213,0.221311475409836,0.3524590163934426,False,False,False
1ujo,131,native,0.3091765561929389,12.720263323961758,48.9,0.3129770992366412,0.1755725190839694,0.5114503816793893,False,False,False
2i49,398,native,0.2384967827272445,23.66455017647812,44.67,0.3969849246231156,0.1457286432160804,0.457286432160804,False,False,False
3n1f,94,native,0.930605034292697,1.0609749174897656,87.12,0.0319148936170212,0.574468085106383,0.3936170212765957,True,True,True
1wdv,150,native,0.3559082262376176,11.615604238349158,36.25,0.2066666666666666,0.1733333333333333,0.62,False,False,False
3vzx,227,native,0.3817930329116759,16.35738424459585,47.66,0.3964757709251101,0.118942731277533,0.4845814977973568,False,False,False
3h7t,235,native,0.4260726253688414,12.017415109541668,35.61,0.1659574468085106,0.3021276595744681,0.5319148936170213,False,False,False
5my6,166,native,0.627811632721624,6.292396733096343,53.39,0.1325301204819277,0.2590361445783132,0.608433734939759,False,False,False
1kwg,197,native,0.4533967630401608,13.37856747773712,47.71,0.3756345177664975,0.182741116751269,0.4416243654822335,False,False,False
5ee0,280,native,0.2587933023004103,23.223767734182893,42.45,0.5071428571428571,0.1607142857142857,0.3321428571428571,False,False,False
2qkg,210,native,0.2817980269127835,19.970795432662324,38.1,0.1904761904761904,0.2857142857142857,0.5238095238095238,False,False,False
2h84,214,native,0.3012673809228722,14.385550387849802,36.04,0.3504672897196261,0.1588785046728972,0.4906542056074766,False,False,False
4xkb,74,native,0.3698842704357408,11.043389672220448,58.37,0.7972972972972973,0.0,0.2027027027027027,False,False,False
5wl1,180,native,0.4221568810178437,9.997693311368696,43.87,0.5333333333333333,0.1166666666666666,0.35,False,False,False
4rm4,364,native,0.3709007535778408,15.009584074967108,45.82,0.5824175824175825,0.0219780219780219,0.3956043956043956,False,False,False
5tea,173,native,0.3901275324384878,14.572128910094566,40.67,0.3005780346820809,0.1849710982658959,0.5144508670520231,False,False,False
5hsg,285,native,0.3676648851799207,18.61992112130576,48.01,0.5052631578947369,0.0982456140350877,0.3964912280701754,False,False,False
1tpg,50,native,0.7078294890576647,1.7226610566609173,86.59,0.0,0.58,0.42,True,True,True
1xq4,123,native,0.8536733335278189,1.8207240209442843,81.56,0.024390243902439,0.6016260162601627,0.3739837398373983,True,True,True
3sao,146,native,0.650918944019078,5.906886501570963,62.82,0.1095890410958904,0.4520547945205479,0.4383561643835616,False,False,False
2xvm,197,native,0.2632212818748456,18.256378239069704,32.08,0.0761421319796954,0.1979695431472081,0.7258883248730964,False,False,False
2qdd,241,native,0.4737029905139491,15.13736444444082,49.38,0.3651452282157676,0.1784232365145228,0.4564315352697095,False,False,False
1j8u,307,native,0.4320106651133883,14.58998931338814,39.04,0.5342019543973942,0.0781758957654723,0.3876221498371335,False,False,False
4nbp,129,native,0.4402653088999929,12.594622633858958,52.34,0.3178294573643411,0.2713178294573643,0.4108527131782946,False,False,False
1wzl,382,native,0.3593245583175454,20.07629503233139,44.62,0.4842931937172774,0.1047120418848167,0.4109947643979058,False,False,False
2zad,221,native,0.495813642594028,12.853763302418471,51.74,0.1990950226244343,0.2262443438914027,0.5746606334841629,False,False,False
2cs4,82,native,0.4563010012219469,6.654179442919048,58.85,0.1707317073170731,0.2926829268292683,0.5365853658536586,False,False,False
3kmu,267,native,0.2857089322385482,15.516782825759812,35.73,0.4719101123595505,0.1123595505617977,0.4157303370786517,False,False,False
1fs1,61,native,0.7710073470309151,1.980520206727279,78.34,0.4590163934426229,0.1967213114754098,0.3442622950819672,True,True,True
3s6w,52,native,0.9389120052555576,0.5532119284569134,93.05,0.0576923076923076,0.5576923076923077,0.3846153846153846,True,True,True
4dxh,176,native,0.3604944740991892,13.735069808983312,33.17,0.2613636363636363,0.1988636363636363,0.5397727272727273,False,False,False
1jos,100,native,0.6522728589578253,3.34105080325047,80.25,0.44,0.29,0.27,False,False,True
2aeu,366,native,0.3379115281778994,18.644888511475187,40.58,0.3934426229508196,0.2076502732240437,0.3989071038251366,False,False,False
1gwe,498,native,0.1983968785164194,32.2277695055009,32.53,0.2730923694779116,0.0863453815261044,0.6405622489959839,False,False,False
1v74,87,native,0.3799609712985348,9.892853734997642,52.45,0.6091954022988506,0.0919540229885057,0.2988505747126437,False,False,False
1v1h,74,native,0.4175541152015248,8.89959859526865,66.17,0.0,0.1756756756756756,0.8243243243243243,False,False,False
6rvq,197,native,0.5076551234048231,14.7688235402523,46.23,0.4314720812182741,0.1776649746192893,0.3908629441624365,False,False,False
1snn,219,native,0.2939320205312281,18.04962119487752,43.22,0.4337899543378995,0.1050228310502283,0.4611872146118721,False,False,False
4xxb,42,native,0.2453167664245485,10.64056373576971,65.25,0.4761904761904761,0.0,0.5238095238095238,False,False,False
2x9v,250,native,0.3572326352248229,17.76431786498252,38.94,0.284,0.176,0.54,False,False,False
1iq8,77,native,0.5498329346824661,6.812624836161448,63.09,0.0,0.6103896103896104,0.3896103896103896,False,False,False
1wa3,202,native,0.8802569968185611,1.944695726623852,79.13,0.4603960396039604,0.1386138613861386,0.400990099009901,True,True,True
2nmu,136,native,0.2670420017036568,14.790280743766148,35.66,0.0808823529411764,0.2352941176470588,0.6838235294117647,False,False,False
1gku,242,native,0.3032498228783179,14.109530440983768,43.11,0.4586776859504132,0.0785123966942148,0.4628099173553719,False,False,False
2ffy,358,native,0.2700047283406843,24.2212521601734,37.03,0.2681564245810056,0.1452513966480447,0.5865921787709497,False,False,False
1x4t,79,native,0.3873421628580435,12.095526718800391,57.79,0.5063291139240507,0.0,0.4936708860759494,False,False,False
