pdb_name,length,scr_pctg,header,tm_score,sc_rmsd,plddt,pct_helix,pct_strand,pct_coil
d1ctfa,68,scrambled_0.1,colabfold_d1ctfa,0.9734956205556172,0.3858775486432284,88.7,0.5,0.2647058823529412,0.2352941176470588
d1ctfa,68,scrambled_0.1,sample_1,0.9357005369823428,0.6185294777514178,83.61,0.4852941176470588,0.25,0.2647058823529412
d1ctfa,68,scrambled_0.1,sample_2,0.95573328820772,0.5620987724074208,87.27,0.5441176470588235,0.2647058823529412,0.1911764705882352
d1ctfa,68,scrambled_0.1,sample_3,0.942472352984491,0.647642325291883,78.54,0.5,0.25,0.25
d1ctfa,68,scrambled_0.1,sample_4,0.9753866432611048,0.373311221481025,83.63,0.5,0.2205882352941176,0.2794117647058823
d1ctfa,68,scrambled_0.1,sample_5,0.9716535175865794,0.4040996067209884,86.16,0.5,0.2647058823529412,0.2352941176470588
d1ctfa,68,scrambled_0.1,sample_6,0.9660545412561374,0.466561090042475,86.4,0.5,0.2647058823529412,0.2352941176470588
d1ctfa,68,scrambled_0.1,sample_7,0.9401248732483232,0.6202487078008342,87.03,0.5,0.25,0.25
d1ctfa,68,scrambled_0.1,sample_8,0.9709455455205254,0.4083769052374913,88.87,0.5,0.2647058823529412,0.2352941176470588
d1ctfa,68,scrambled_0.1,sample_9,0.9509497776848636,0.5884875845317786,87.93,0.5,0.2647058823529412,0.2352941176470588
d1ctfa,68,scrambled_0.1,sample_10,0.9669169293097564,0.4444243107992176,87.84,0.5,0.2647058823529412,0.2352941176470588
d1ctfa,68,scrambled_0.1,sample_11,0.9570756290942406,0.5243070663274692,86.29,0.5,0.2647058823529412,0.2352941176470588
d1ctfa,68,scrambled_0.1,sample_12,0.9420080329044948,0.6477272607159159,88.1,0.5,0.2647058823529412,0.2352941176470588
d1ctfa,68,scrambled_0.1,sample_13,0.9542146988646268,0.5349187413455907,82.33,0.5,0.2647058823529412,0.2352941176470588
d1ctfa,68,scrambled_0.1,sample_14,0.9647868814580024,0.4547795046770804,88.15,0.4852941176470588,0.2647058823529412,0.25
d1ctfa,68,scrambled_0.1,sample_15,0.9352034320747504,0.6268282344250324,86.66,0.5,0.25,0.25
d1ctfa,68,scrambled_0.1,sample_16,0.967401597119556,0.4319415864897495,85.61,0.4852941176470588,0.2647058823529412,0.25
d1ctfa,68,scrambled_0.1,sample_17,0.9687995368133812,0.436760467479919,86.83,0.5,0.2647058823529412,0.2352941176470588
d1ctfa,68,scrambled_0.1,sample_18,0.9465545069599038,0.6001402031572698,75.1,0.5,0.2794117647058823,0.2205882352941176
d1ctfa,68,scrambled_0.1,sample_19,0.968512760595465,0.4340678237687764,87.34,0.5,0.2647058823529412,0.2352941176470588
d1ctfa,68,scrambled_0.1,sample_20,0.944874830614823,0.5668541873555464,88.41,0.5,0.25,0.25
d1ctfa,68,scrambled_0.1,sample_21,0.9471121582569562,0.5771877591945044,76.55,0.5,0.25,0.25
d1ctfa,68,scrambled_0.1,sample_22,0.9640582950709372,0.473441095946954,87.34,0.5,0.2647058823529412,0.2352941176470588
d1ctfa,68,scrambled_0.1,sample_23,0.9735577243805392,0.3968312941414281,81.81,0.5,0.2647058823529412,0.2352941176470588
d1ctfa,68,scrambled_0.1,sample_24,0.9596324292733424,0.5137129470410258,80.34,0.5,0.2647058823529412,0.2352941176470588
d1ctfa,68,scrambled_0.1,sample_25,0.930086105321088,0.6700874475330212,86.27,0.5,0.2205882352941176,0.2794117647058823
d1ctfa,68,scrambled_0.1,sample_26,0.98086729108111,0.3523317781668874,81.29,0.5,0.25,0.25
d1ctfa,68,scrambled_0.1,sample_27,0.9541969101979204,0.5656957249784583,88.83,0.5,0.2647058823529412,0.2352941176470588
d1ctfa,68,scrambled_0.1,sample_28,0.9648328212184434,0.4596708499837746,89.71,0.5147058823529411,0.2647058823529412,0.2205882352941176
d1ctfa,68,scrambled_0.1,sample_29,0.9665358066057818,0.4522813399667595,87.15,0.5,0.2647058823529412,0.2352941176470588
d1ctfa,68,scrambled_0.1,sample_30,0.951458017171206,0.5788787095393222,86.84,0.5,0.2647058823529412,0.2352941176470588
d1ctfa,68,scrambled_0.1,sample_31,0.9229520136438304,0.8589761369365263,76.22,0.4852941176470588,0.1764705882352941,0.3382352941176471
d1ctfa,68,scrambled_0.1,sample_32,0.9430700295355952,0.6380349943098402,81.09,0.5,0.2647058823529412,0.2352941176470588
d1ctfa,68,scrambled_0.1,sample_33,0.9736820259344418,0.3883974240210419,88.35,0.5,0.2647058823529412,0.2352941176470588
d1ctfa,68,scrambled_0.1,sample_34,0.9517019801733732,0.5644842129136755,84.7,0.5,0.2647058823529412,0.2352941176470588
d1ctfa,68,scrambled_0.1,sample_35,0.9344343851864236,0.698361670409759,81.13,0.5,0.2647058823529412,0.2352941176470588
d1ctfa,68,scrambled_0.1,sample_36,0.969211102066956,0.4395182449056311,90.12,0.5,0.2647058823529412,0.2352941176470588
d1ctfa,68,scrambled_0.1,sample_37,0.9250464018117004,0.7381386315715283,86.3,0.4852941176470588,0.2647058823529412,0.25
d1ctfa,68,scrambled_0.1,sample_38,0.9687082784452002,0.4333028913385091,84.67,0.5,0.2647058823529412,0.2352941176470588
d1ctfa,68,scrambled_0.1,sample_39,0.9760079843160496,0.3685543814422499,82.55,0.5,0.2647058823529412,0.2352941176470588
d1ctfa,68,scrambled_0.1,sample_40,0.959612481596356,0.5004555863106637,88.97,0.4852941176470588,0.2647058823529412,0.25
d1ctfa,68,scrambled_0.1,sample_41,0.9590162847960308,0.5199868783035183,89.1,0.5,0.2647058823529412,0.2352941176470588
