,prot,filename,plddt
0,153241,153241_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb,37.56120412496209
1,52443,52443_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb,36.9103814457264
2,160353,160353_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000.pdb,46.756870187018706
3,162887,162887_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb,66.93856945404285
4,240782,240782_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb,52.55564335664336
5,165098,165098_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb,69.13649727767694
6,21626,21626_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb,32.89972020984261
7,55568,55568_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,31.35851585014409
8,239635,239635_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000.pdb,44.36412713472486
9,151981,151981_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb,47.63011235955056
10,155719,155719_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000.pdb,29.462668992586128
11,242190,242190_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000.pdb,65.06057405281285
12,144411,144411_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb,35.21865097159941
13,52100,52100_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb,42.371514687882495
14,11639,11639_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb,41.03574342105263
15,250108,250108_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb,40.86284436072522
16,249348,249348_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb,37.43264603481624
17,153207,153207_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb,32.47651199247531
18,152286,152286_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000.pdb,39.11927955665025
19,43271,43271_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb,38.22172212492703
20,158588,158588_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb,37.21323394495413
21,154908,154908_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb,38.07096587250482
22,113691,113691_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000.pdb,50.55967405475881
23,155989,155989_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000.pdb,39.11339841366687
24,12385,12385_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000.pdb,35.328508771929826
25,185271,185271_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb,37.25353151862464
26,251890,251890_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,75.46547857793983
27,241156,241156_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb,81.28375722543352
28,152671,152671_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000.pdb,39.13754143019296
29,12383,12383_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb,41.12715724923346
30,158679,158679_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb,36.27600475059383
31,119984,119984_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb,32.550547875064005
32,152696,152696_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb,35.12692526690392
33,190671,190671_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb,32.72564353408744
34,190567,190567_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb,43.18737627118645
35,166465,166465_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb,40.86280172413793
36,50000,50000_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000.pdb,36.323827397260274
37,252031,252031_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000.pdb,53.92279635258359
38,249767,249767_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb,37.0535041017914
39,155661,155661_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb,45.95246085909274
40,151966,151966_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000.pdb,41.6084661754856
41,168570,168570_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb,41.623061630218686
42,150234,150234_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb,38.69202500868357
43,72829,72829_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb,34.295538211382116
44,156753,156753_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb,37.24595096322242
45,155537,155537_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb,40.07277460770327
46,156140,156140_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000.pdb,49.13404545454546
47,194288,194288_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb,41.10512694877505
48,217808,217808_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb,45.472277158774375
49,158328,158328_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb,31.917678653757495
50,47644,47644_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb,57.60487959442332
