,prot,filename,plddt
0,207378,AF-A0A850LPX5-F1.msa_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000.pdb,95.8339367351651
1,251141,AF-A5E450-F1.msa_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb,75.25713775662005
2,219238,AF-Q5CSB9-F1.msa_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000.pdb,91.54316026165168
3,288516,AF-A0A2V2WCU4-F1.msa_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb,97.18001003512292
4,160334,AF-C7R4J3-F1.msa_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb,86.92010970464133
5,156898,AF-A0A222H600-F1.msa_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000.pdb,85.36971798780489
6,217349,AF-A0A2J8LL04-F1.msa_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000.pdb,70.9573700887199
7,12598,AF-Q6LZ74-F1.msa_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000.pdb,82.94194760357433
8,157691,AF-Q92WJ9-F1.msa_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb,95.00089293011852
9,48910,AF-A0A6N4SM35-F1.msa_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000.pdb,94.75602469959946
10,21126,AF-A0A6H3A7J7-F1.msa_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000.pdb,92.2099011479592
11,81908,AF-Q8DW96-F1.msa_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb,87.76115207373272
12,30856,AF-B1XB71-F1.msa_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000.pdb,95.8978383359663
13,184481,AF-Q18B20-F1.msa_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000.pdb,82.40612281976745
14,217569,AF-M2XJ27-F1.msa_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb,61.62491021671826
15,28587,AF-A9CEQ8-F1.msa_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000.pdb,97.69066186556928
16,155624,AF-Q92Z80-F1.msa_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000.pdb,93.38627627627628
17,160157,AF-A4X6E5-F1.msa_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb,85.69748007968127
18,80368,AF-Q83EM2-F1.msa_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000.pdb,65.76461634280021
19,152335,AF-A2C0A4-F1.msa_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000.pdb,95.35748716193083
20,223465,AF-O88428-F1.msa_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb,90.86989492826834
21,155580,AF-Q92ZG6-F1.msa_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000.pdb,96.03146716348392
22,185258,AF-B9JQD3-F1.msa_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000.pdb,94.54677131425056
23,288378,AF-Q4D6P5-F1.msa_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000.pdb,84.62034625517501
24,98161,AF-A0A0H2UPS2-F1.msa_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000.pdb,97.50764444444444
25,155509,AF-Q92ZR2-F1.msa_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,74.26106796116504
